epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.8949810266494751,"""[tensor(0.8966, device='cuda:0'), tensor(0.8933, device='cuda:0')]""",0.24926848709583282,0.9721783399581909,0.3527766168117523,0.9077634215354919,"""[tensor(0.9101, device='cuda:0'), tensor(0.9053, device='cuda:0')]""",0.2242511361837387,0.9672349691390991,0.5257156491279602
1,0.9117069840431213,"""[tensor(0.9135, device='cuda:0'), tensor(0.9099, device='cuda:0')]""",0.21336491405963898,0.9463178515434265,0.6940483450889587,0.909424364566803,"""[tensor(0.9125, device='cuda:0'), tensor(0.9061, device='cuda:0')]""",0.218898743391037,0.9509726762771606,0.7467101812362671
2,0.9169666171073914,"""[tensor(0.9187, device='cuda:0'), tensor(0.9152, device='cuda:0')]""",0.20058685541152954,0.9276062250137329,0.8141968250274658,0.9049032926559448,"""[tensor(0.9025, device='cuda:0'), tensor(0.9072, device='cuda:0')]""",0.223224937915802,0.8938784599304199,0.8491432666778564
3,0.9200872182846069,"""[tensor(0.9217, device='cuda:0'), tensor(0.9184, device='cuda:0')]""",0.19350121915340424,0.9231514930725098,0.8372950553894043,0.9196978211402893,"""[tensor(0.9224, device='cuda:0'), tensor(0.9167, device='cuda:0')]""",0.19443383812904358,0.9240249991416931,0.8403960466384888
4,0.9225414395332336,"""[tensor(0.9241, device='cuda:0'), tensor(0.9209, device='cuda:0')]""",0.18794548511505127,0.9232285022735596,0.8499309420585632,0.921294629573822,"""[tensor(0.9240, device='cuda:0'), tensor(0.9184, device='cuda:0')]""",0.18995662033557892,0.9179975390434265,0.8651497960090637
5,0.9249747395515442,"""[tensor(0.9265, device='cuda:0'), tensor(0.9234, device='cuda:0')]""",0.1826351284980774,0.9264857769012451,0.8362974524497986,0.9229683876037598,"""[tensor(0.9241, device='cuda:0'), tensor(0.9218, device='cuda:0')]""",0.1872587352991104,0.9190300107002258,0.8690873384475708
6,0.9264007806777954,"""[tensor(0.9279, device='cuda:0'), tensor(0.9248, device='cuda:0')]""",0.17910125851631165,0.9265516400337219,0.8484848141670227,0.9260081052780151,"""[tensor(0.9273, device='cuda:0'), tensor(0.9246, device='cuda:0')]""",0.18234965205192566,0.9327810406684875,0.8454943299293518
7,0.9280728101730347,"""[tensor(0.9296, device='cuda:0'), tensor(0.9265, device='cuda:0')]""",0.17546746134757996,0.9294024109840393,0.8574301600456238,0.9267007112503052,"""[tensor(0.9270, device='cuda:0'), tensor(0.9264, device='cuda:0')]""",0.1792604923248291,0.919505774974823,0.875775933265686
8,0.9295591711997986,"""[tensor(0.9310, device='cuda:0'), tensor(0.9280, device='cuda:0')]""",0.172239750623703,0.9316970705986023,0.8531922101974487,0.9257194995880127,"""[tensor(0.9259, device='cuda:0'), tensor(0.9256, device='cuda:0')]""",0.18373626470565796,0.9328255653381348,0.8073568940162659
9,0.9305840730667114,"""[tensor(0.9320, device='cuda:0'), tensor(0.9291, device='cuda:0')]""",0.16997598111629486,0.9326477646827698,0.8636472225189209,0.9288297891616821,"""[tensor(0.9301, device='cuda:0'), tensor(0.9275, device='cuda:0')]""",0.1740364134311676,0.931725800037384,0.8630784153938293
10,0.9317464828491211,"""[tensor(0.9331, device='cuda:0'), tensor(0.9303, device='cuda:0')]""",0.16722624003887177,0.9330120086669922,0.8711681962013245,0.9307600259780884,"""[tensor(0.9322, device='cuda:0'), tensor(0.9293, device='cuda:0')]""",0.17158140242099762,0.9400806427001953,0.8329699635505676
11,0.9328163862228394,"""[tensor(0.9342, device='cuda:0'), tensor(0.9314, device='cuda:0')]""",0.1651008427143097,0.9342767596244812,0.8742461800575256,0.9287849068641663,"""[tensor(0.9291, device='cuda:0'), tensor(0.9285, device='cuda:0')]""",0.1759747713804245,0.9382238388061523,0.8099412322044373
12,0.9336106181144714,"""[tensor(0.9349, device='cuda:0'), tensor(0.9322, device='cuda:0')]""",0.16277576982975006,0.9335264563560486,0.8766103386878967,0.9303496479988098,"""[tensor(0.9314, device='cuda:0'), tensor(0.9293, device='cuda:0')]""",0.17016586661338806,0.9286094903945923,0.8834521770477295
13,0.9345439076423645,"""[tensor(0.9359, device='cuda:0'), tensor(0.9332, device='cuda:0')]""",0.16068358719348907,0.9341960549354553,0.8862679600715637,0.9310742616653442,"""[tensor(0.9315, device='cuda:0'), tensor(0.9306, device='cuda:0')]""",0.16843794286251068,0.9300094842910767,0.8780269026756287
14,0.9352552890777588,"""[tensor(0.9366, device='cuda:0'), tensor(0.9339, device='cuda:0')]""",0.15931519865989685,0.9344043731689453,0.8884456157684326,0.9318245649337769,"""[tensor(0.9331, device='cuda:0'), tensor(0.9305, device='cuda:0')]""",0.1708104908466339,0.9119585752487183,0.9147598743438721
15,0.9357424378395081,"""[tensor(0.9370, device='cuda:0'), tensor(0.9344, device='cuda:0')]""",0.15797878801822662,0.9329882264137268,0.8905123472213745,0.9314975142478943,"""[tensor(0.9340, device='cuda:0'), tensor(0.9289, device='cuda:0')]""",0.1693677008152008,0.924687385559082,0.9029601812362671
